Player,Nation,Squad,Comp,Age,90s,Gls,Ast,xG,npxG,xA,SCA,Sh,SoT,SoT%,Cmp,Cmp%,PrgP,KP,PPA,CrsPA,Carries,PrgC,PrgR,CPA,PrgDist,Tkl,TklW,Int,Blocks,Mis,Dis,Fld,Err
Hicham Boudaoui,dz ALG,Nice,fr Ligue 1,24.0,27.1,0.07380073800738007,0.11070110701107011,0.0996309963099631,0.0996309963099631,0.10332103321033209,2.3985239852398523,1.4391143911439113,0.6642066420664207,46.2,34.7970479704797,83.2,4.575645756457565,0.8118081180811808,1.1808118081180812,0.11070110701107011,28.413284132841326,1.9926199261992619,2.7675276752767526,0.25830258302583026,85.1660516605166,2.8044280442804426,1.918819188191882,0.8118081180811808,1.4760147601476015,1.4022140221402213,0.959409594095941,0.11070110701107011,0.03690036900369004
Hugo Larsson,se SWE,Eint Frankfurt,de Bundesliga,20.0,26.6,0.11278195488721804,0.03759398496240601,0.11654135338345864,0.11654135338345864,0.07142857142857142,2.142857142857143,0.7894736842105263,0.37593984962406013,47.6,40.6015037593985,86.9,4.548872180451127,0.7894736842105263,0.7142857142857143,0.11278195488721804,30.187969924812027,0.6015037593984962,1.2406015037593985,0.15037593984962405,51.95488721804511,1.7669172932330826,1.0150375939849623,1.1278195488721805,1.5789473684210527,0.8646616541353384,0.41353383458646614,0.03759398496240601,0.03759398496240601
Hugo Magnetti,fr FRA,Brest,fr Ligue 1,26.0,25.8,0.03875968992248062,0.0,0.031007751937984496,0.031007751937984496,0.02713178294573643,1.0852713178294573,0.7364341085271318,0.23255813953488372,31.6,35.65891472868217,84.9,3.1007751937984493,0.23255813953488372,0.23255813953488372,0.03875968992248062,26.89922480620155,0.813953488372093,0.7751937984496123,0.19379844961240308,59.922480620155035,2.0155038759689923,1.2403100775193798,0.6976744186046512,0.7751937984496123,0.8914728682170543,0.8914728682170543,0.03875968992248062,0.0
Hugo Sotelo,es ESP,Celta Vigo,es La Liga,20.0,13.9,0.0,0.0,0.014388489208633094,0.014388489208633094,0.12949640287769784,2.8776978417266186,0.28776978417266186,0.0,0.0,62.80575539568345,85.8,5.971223021582734,1.3669064748201438,0.8633093525179856,0.2158273381294964,47.194244604316545,1.5107913669064748,2.7338129496402876,0.14388489208633093,95.39568345323741,2.014388489208633,1.223021582733813,0.3597122302158273,0.6474820143884892,0.7913669064748201,0.8633093525179856,0.0,0.07194244604316546
Hugo Álvarez,es ESP,Celta Vigo,es La Liga,21.0,17.5,0.22857142857142856,0.17142857142857143,0.14285714285714285,0.14285714285714285,0.12000000000000001,2.6285714285714286,1.4285714285714286,0.5142857142857142,36.0,45.65714285714286,78.9,3.4285714285714284,0.9714285714285714,0.8571428571428571,0.17142857142857143,41.48571428571429,4.228571428571429,9.771428571428572,2.342857142857143,129.4857142857143,1.4857142857142858,0.5142857142857142,0.45714285714285713,1.0857142857142856,1.8857142857142857,0.6857142857142857,0.0,0.05714285714285714
Ibrahima Sissoko,ml MLI,Bochum,de Bundesliga,26.0,29.0,0.06896551724137931,0.034482758620689655,0.05862068965517241,0.05862068965517241,0.09310344827586207,2.2413793103448274,0.8620689655172413,0.27586206896551724,32.0,27.724137931034484,75.0,3.6206896551724137,0.9310344827586207,0.5517241379310345,0.1724137931034483,23.82758620689655,1.206896551724138,2.3793103448275863,0.10344827586206896,53.55172413793103,2.2758620689655173,1.5172413793103448,1.2413793103448276,1.3448275862068966,1.3793103448275863,1.103448275862069,0.13793103448275862,0.0
Idrissa Gana Gueye,sn SEN,Everton,eng Premier League,34.0,34.0,0.0,0.08823529411764706,0.03235294117647059,0.03235294117647059,0.058823529411764705,1.7647058823529411,0.7941176470588235,0.14705882352941177,18.5,36.1764705882353,86.5,4.264705882352941,0.5588235294117647,0.29411764705882354,0.08823529411764706,25.323529411764707,0.7941176470588235,0.7941176470588235,0.11764705882352941,51.529411764705884,3.911764705882353,2.3529411764705883,1.411764705882353,1.411764705882353,0.9411764705882353,1.1176470588235294,0.08823529411764706,0.029411764705882353
Ilaix Moriba,gn GUI,Celta Vigo,es La Liga,21.0,23.7,0.04219409282700422,0.04219409282700422,0.07172995780590717,0.07172995780590717,0.10126582278481013,2.320675105485232,1.4345991561181435,0.4641350210970464,32.4,35.56962025316456,85.7,5.0210970464135025,0.8438818565400844,0.8016877637130801,0.08438818565400844,32.447257383966246,1.4345991561181435,2.70042194092827,0.379746835443038,64.76793248945148,2.869198312236287,1.7721518987341773,0.5907172995780591,1.2236286919831223,2.151898734177215,1.0548523206751055,0.16877637130801687,0.04219409282700422
Isco,es ESP,Betis,es La Liga,32.0,17.2,0.5232558139534884,0.46511627906976744,0.5,0.22674418604651164,0.22674418604651164,6.453488372093023,2.2093023255813953,0.5232558139534884,23.7,55.639534883720934,81.6,8.837209302325581,3.546511627906977,1.802325581395349,0.29069767441860467,51.918604651162795,2.2093023255813953,6.511627906976744,0.29069767441860467,119.01162790697676,1.1627906976744187,0.7558139534883721,0.6395348837209303,0.5813953488372093,3.1395348837209305,1.5697674418604652,0.1744186046511628,0.0
Ismaila Sarr,sn SEN,Crystal Palace,eng Premier League,26.0,30.1,0.26578073089700993,0.19933554817275748,0.35548172757475077,0.35548172757475077,0.22259136212624583,3.654485049833887,1.9601328903654485,0.9634551495016611,49.2,16.27906976744186,66.0,2.823920265780731,1.4617940199335548,1.3953488372093024,0.2990033222591362,20.16611295681063,2.491694352159468,6.079734219269103,0.9302325581395349,70.03322259136212,0.7308970099667774,0.33222591362126247,0.2990033222591362,0.8970099667774086,2.325581395348837,1.4285714285714286,0.46511627906976744,0.0
Issa Doumbia,it ITA,Venezia,it Serie A,20.0,10.4,0.0,0.0,0.09615384615384615,0.09615384615384615,0.019230769230769232,1.6346153846153846,1.5384615384615383,0.4807692307692307,31.3,19.51923076923077,74.9,2.1153846153846154,0.28846153846153844,0.09615384615384615,0.0,21.057692307692307,1.1538461538461537,2.7884615384615383,0.28846153846153844,56.15384615384615,1.346153846153846,0.7692307692307692,0.8653846153846153,1.6346153846153846,2.4038461538461537,1.7307692307692306,0.0,0.09615384615384615
Ivan Ilić,rs SRB,Torino,it Serie A,23.0,10.2,0.09803921568627452,0.0,0.08823529411764706,0.08823529411764706,0.08823529411764706,3.03921568627451,1.0784313725490198,0.3921568627450981,36.4,44.21568627450981,83.4,4.411764705882353,0.8823529411764707,1.5686274509803924,0.29411764705882354,40.392156862745104,2.3529411764705883,4.019607843137255,0.09803921568627452,97.74509803921569,0.4901960784313726,0.19607843137254904,0.4901960784313726,0.0,1.8627450980392157,0.8823529411764707,0.29411764705882354,0.0
Iván Martín,es ESP,Girona,es La Liga,25.0,22.7,0.04405286343612335,0.04405286343612335,0.07929515418502203,0.07929515418502203,0.09251101321585904,2.4669603524229076,0.4845814977973568,0.13215859030837004,27.3,55.11013215859031,90.2,5.770925110132159,0.9691629955947136,0.6607929515418502,0.13215859030837004,45.991189427312776,2.511013215859031,3.3480176211453747,0.04405286343612335,133.87665198237886,1.4096916299559472,0.8370044052863437,0.4845814977973568,0.881057268722467,1.894273127753304,1.1894273127753305,0.04405286343612335,0.04405286343612335
Iñigo Ruiz de Galarreta,es ESP,Athletic Club,es La Liga,30.0,16.4,0.0,0.24390243902439027,0.030487804878048783,0.030487804878048783,0.16463414634146345,3.048780487804878,0.6707317073170732,0.06097560975609757,9.1,41.646341463414636,80.9,8.353658536585366,1.707317073170732,1.524390243902439,0.1829268292682927,31.951219512195124,1.6463414634146343,2.378048780487805,0.1829268292682927,77.19512195121952,2.1951219512195124,1.3414634146341464,0.9756097560975611,0.6707317073170732,1.0365853658536586,0.9756097560975611,0.0,0.12195121951219513
Jack Hinshelwood,eng ENG,Brighton,eng Premier League,19.0,20.5,0.24390243902439024,0.0975609756097561,0.13170731707317074,0.13170731707317074,0.07317073170731707,1.7073170731707317,0.8780487804878049,0.4878048780487805,55.6,42.4390243902439,83.2,3.317073170731707,0.8292682926829268,0.43902439024390244,0.0975609756097561,28.78048780487805,0.926829268292683,2.6341463414634148,0.0975609756097561,58.0,1.3170731707317074,0.926829268292683,0.7804878048780488,0.4878048780487805,0.8780487804878049,0.14634146341463414,0.04878048780487805,0.04878048780487805
Jackson Irvine,au AUS,St. Pauli,de Bundesliga,31.0,29.0,0.0,0.20689655172413793,0.11034482758620691,0.10344827586206896,0.08620689655172414,1.9310344827586208,1.4137931034482758,0.41379310344827586,29.3,23.586206896551722,70.6,4.0344827586206895,1.103448275862069,0.41379310344827586,0.06896551724137931,16.0,0.6551724137931034,2.0,0.1724137931034483,30.93103448275862,1.9310344827586208,0.9655172413793104,1.2413793103448276,0.9310344827586207,1.4482758620689655,0.4482758620689655,0.034482758620689655,0.06896551724137931
Jacopo Fazzini,it ITA,Empoli,it Serie A,21.0,15.4,0.2597402597402597,0.06493506493506493,0.2012987012987013,0.2012987012987013,0.04545454545454545,3.1818181818181817,1.7532467532467533,0.5844155844155844,33.3,19.805194805194805,71.6,3.1818181818181817,0.7792207792207793,0.6493506493506493,0.0,23.636363636363637,2.207792207792208,5.714285714285714,0.974025974025974,72.53246753246754,2.0779220779220777,1.2337662337662338,0.38961038961038963,0.8441558441558441,2.5324675324675323,2.142857142857143,0.45454545454545453,0.0
Jamal Musiala,de GER,Bayern Munich,de Bundesliga,21.0,20.0,0.6,0.1,0.465,0.465,0.29500000000000004,5.55,3.4,1.55,45.6,38.9,82.6,5.35,2.05,1.2,0.0,39.6,3.55,7.8,1.8,115.0,1.8,1.05,0.4,1.5,3.35,1.65,0.45,0.05
James Garner,eng ENG,Everton,eng Premier League,23.0,17.7,0.0,0.05649717514124294,0.03954802259887005,0.03954802259887005,0.0790960451977401,2.2033898305084745,0.6779661016949153,0.22598870056497175,33.3,34.51977401129944,76.1,2.824858757062147,0.7344632768361582,0.3954802259887006,0.22598870056497175,27.005649717514125,0.8474576271186441,1.6949152542372883,0.11299435028248588,47.570621468926554,2.6553672316384183,1.7514124293785311,1.2994350282485876,1.1299435028248588,0.903954802259887,0.5084745762711864,0.0,0.0
James Maddison,eng ENG,Tottenham,eng Premier League,27.0,20.1,0.4477611940298507,0.34825870646766166,0.2885572139303482,0.2885572139303482,0.2935323383084577,4.72636815920398,1.9402985074626864,0.8457711442786069,43.6,50.79601990049751,81.3,8.159203980099502,2.0398009950248754,1.5920398009950247,0.24875621890547261,51.04477611940298,2.2388059701492535,4.72636815920398,0.9950248756218905,113.38308457711442,1.5422885572139302,0.9452736318407959,0.5970149253731343,0.7462686567164178,1.144278606965174,1.243781094527363,0.29850746268656714,0.04975124378109452
